trip_nr,dev_nr,sections,trip_name,signal_name,EWM_SPAN,LOOKBACK_DISTDIFF,LANE_CHANGE_DURATION,ROLLING_SUM_SIZE,CUTOFF_THRESHOLD,precision,recall,f1,timestamp
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset,3,5,8,1,1.7999999999999998,0.8076923076923077,1.0,0.8936170212765957,2022-01-30 15:20:06
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset,3,5,8,1,1.5999999999999999,0.6896551724137931,0.9523809523809523,0.8,2022-01-30 15:20:06
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset,3,5,8,1,1.4,0.6896551724137931,0.9523809523809523,0.8,2022-01-30 15:20:06
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.8,0.8,0.38095238095238093,0.5161290322580645,2022-01-30 15:08:13
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.5999999999999996,0.9090909090909091,0.47619047619047616,0.625,2022-01-30 15:08:13
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.3999999999999995,0.9411764705882353,0.7619047619047619,0.8421052631578947,2022-01-30 15:08:13
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.9411764705882353,0.7619047619047619,0.8421052631578947,2022-01-30 15:08:13
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.9375,0.7142857142857143,0.8108108108108109,2022-01-30 15:08:13
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.9411764705882353,0.7619047619047619,0.8421052631578947,2022-01-30 15:08:12
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.8636363636363636,0.9047619047619048,0.8837209302325582,2022-01-30 15:08:12
2,1,"['A', 'M']",03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.7692307692307693,0.9523809523809523,0.851063829787234,2022-01-30 15:08:12
