lon,lat,order,x,y,distance,bearing
4.374494,52.012559,343,85476.28879,447617.5624,,
4.374643,52.012552,344,85486.50651,447616.6411,10.25976821,94.35375503
4.374802,52.012544,345,85497.40916,447615.5989,10.9529816,94.66146403
4.374957,52.012537,346,85508.03877,447614.6719,10.67058161,94.18582756
4.375105,52.01253,348,85518.18784,447613.7515,10.19131384,94.38305667
4.375257,52.012515,350,85528.59911,447611.9374,10.56876236,99.08609834
4.375405,52.012457,353,85538.66916,447605.3433,12.03762338,122.4193309
4.375529,52.012315,356,85546.96151,447589.4272,17.94779682,151.6822395
4.375566,52.012222,357,85549.3574,447579.0455,10.6551549,166.2067354
4.375606,52.01212,358,85551.9453,447567.6598,11.67685936,166.3966817
4.375649,52.012012,359,85554.72986,447555.6036,12.37425929,166.1967133
4.375691,52.011905,360,85557.44734,447543.6597,12.24989078,166.384378
4.375732,52.011802,361,85560.10238,447532.1617,11.80122803,166.1996481
4.375771,52.011703,362,85562.62633,447521.1106,11.33628332,166.3370379
4.375809,52.011608,363,85565.08784,447510.5055,10.88765835,166.1348629
4.375845,52.011515,365,85567.41516,447500.1248,10.63900202,166.5656305
4.375876,52.011414,368,85569.38685,447488.8589,11.4378146,169.2752399
4.375758,52.011316,372,85561.13434,447478.0692,13.58468635,-143.3872095
4.375561,52.011259,376,85547.52196,447471.9163,14.93925436,-115.1212199
4.375415,52.011222,379,85537.4417,447467.9396,10.83692944,-112.327148
4.375214,52.011175,381,85523.57016,447462.9031,14.75843984,-110.7532115
4.375083,52.011132,384,85514.51032,447458.2447,10.18793562,-118.0098804
4.375021,52.011045,397,85510.11912,447448.6252,10.57495643,-156.2620733
4.375043,52.010943,401,85511.4713,447437.2566,11.44937395,172.4187045
4.3751,52.01082,405,85515.19371,447423.5183,14.23450592,164.0412768
4.37531,52.010779,408,85529.54683,447418.7562,15.12337953,107.55666
4.375552,52.010813,410,85546.21302,447422.3073,17.04130237,77.17362356
4.375817,52.01085,412,85564.4628,447426.1702,18.65521722,77.25071085
4.375972,52.010875,415,85575.14239,447428.8033,11.0000425,75.35194695
4.376147,52.010909,417,85587.20892,447432.4185,12.59721109,72.52357135
4.376327,52.010941,419,85599.61559,447435.8065,12.86169919,73.92856135
4.376476,52.010967,421,85609.88478,447438.5567,10.63169182,74.21026366
4.376616,52.010995,423,85619.5392,447441.538,10.10483947,72.04212276
4.376819,52.010973,426,85633.44122,447438.8966,14.15154615,99.96085029
4.376939,52.010904,428,85641.57251,447431.1057,11.26189848,132.9781512
4.377066,52.010831,430,85650.1782,447422.8632,11.91695644,132.9683182
4.377211,52.010727,432,85659.97168,447411.1547,15.26523855,139.2926021
4.377406,52.010615,434,85673.18539,447398.5085,18.29116425,132.9460755
