lon,lat,order,x,y,distance,bearing
4.487951,51.863557,1342,93059.833,430938.4681,27.99090874,76.43610846
4.488343,51.863616,1343,93086.91403,430944.698,27.79002053,76.33616539
4.488734,51.863674,1344,93113.92474,430950.8176,27.69691862,76.52614243
4.489129,51.863733,1345,93141.21226,430957.0452,27.99080556,76.43605709
4.489297,51.863758,1346,93152.81794,430959.6835,11.90249974,76.48490514
4.48952,51.86379,1347,93168.22146,430963.0538,15.76886196,76.9504963
4.489911,51.863846,1348,93195.22922,430968.9514,27.64581582,76.9745944
4.490303,51.863902,1349,93222.30578,430974.8482,27.71290134,77.0066771
4.490693,51.863958,1350,93249.24453,430980.7469,27.57864139,76.94230821
4.491086,51.864015,1351,93276.39122,430986.7545,27.80512954,76.81515554
4.491483,51.864072,1352,93303.81334,430992.7588,28.07344672,76.9434079
4.491884,51.864129,1353,93331.5109,430998.7598,28.34190122,77.06923091
4.492292,51.864188,1354,93359.69326,431004.9776,28.8618402,76.85285893
4.492705,51.864247,1355,93388.21994,431011.1913,29.19731,77.0065725
4.49312,51.864299,1357,93416.87471,431016.6247,29.16710225,78.55839978
4.493534,51.864349,1358,93445.45782,431021.8366,29.05613088,78.96153165
4.493943,51.864398,1359,93473.69511,431026.9417,28.69677468,79.04789529
4.49435,51.864447,1360,93501.79459,431032.0486,28.56149527,78.99537711
4.494757,51.864495,1361,93529.89264,431037.0444,28.54043582,79.21462616
4.494945,51.864518,1362,93542.87271,431039.4443,13.20083714,78.82189839
4.495161,51.864541,1363,93557.78128,431041.8204,15.09765536,80.24102211
4.495565,51.864584,1364,93585.66577,431046.2629,28.237838,80.24506138
4.495974,51.864627,1365,93613.89459,431050.7012,28.57731679,80.36205171
4.496385,51.86467,1366,93642.26111,431055.1381,28.71312497,80.40806767
4.496795,51.864714,1367,93670.56006,431059.6871,28.66397211,80.16581939
4.497204,51.864757,1368,93698.78872,431064.126,28.57723674,80.36202423
4.497611,51.8648,1369,93726.87957,431068.5667,28.44139462,80.31555037
4.498013,51.864841,1371,93754.62328,431072.7892,28.06488408,80.6450913
4.49842,51.864882,1372,93782.71131,431077.0077,28.404757,80.75800923
4.498829,51.864923,1373,93810.93705,431081.2247,28.54072121,80.80241828
4.499238,51.864964,1374,93839.16273,431085.4418,28.54069593,80.80241
4.499639,51.865004,1375,93866.83601,431089.5546,27.97890462,80.84694922
4.500044,51.865035,1377,93894.77252,431092.6629,28.11058955,82.95180749
4.500457,51.865066,1378,93923.25999,431095.7646,28.65756086,83.08698935
4.500872,51.865097,1379,93951.88518,431098.8648,28.79431328,83.11997871
4.501288,51.865128,1380,93980.5792,431101.9644,28.86268319,83.13635378
4.501712,51.86516,1381,94009.82554,431105.1686,29.42311815,83.04947295
4.502137,51.865192,1382,94039.14071,431108.3722,29.49147669,83.06566203
4.502563,51.865224,1383,94068.52472,431111.5751,29.55983749,83.08177622
4.502968,51.865254,1384,94096.45961,431114.5733,28.09701939,83.17695185
4.503419,51.865281,1386,94127.55865,431117.1994,31.21159921,84.47649259
4.503842,51.865306,1387,94156.72646,431119.6266,29.2703886,84.54667943
4.50427,51.865331,1388,94186.23861,431122.0498,29.61325148,84.61000218
4.504688,51.865356,1389,94215.06198,431124.4815,28.92751428,84.48184638
4.505102,51.865381,1390,94243.60982,431126.9167,28.65325206,84.42886475
4.505477,51.865403,1391,94269.46748,431129.0509,25.9471514,84.58658238
4.505921,51.865426,1393,94300.0788,431131.2389,30.69127551,85.21685349
4.506337,51.865448,1394,94328.76026,431133.3392,28.75999782,85.11736194
4.506758,51.86547,1395,94357.78607,431135.4355,29.10316745,85.17506888
4.507184,51.865492,1396,94387.15622,431137.5278,29.44636559,85.23143063
4.507605,51.865512,1398,94416.17928,431139.4019,29.08526851,85.61188166
4.508023,51.865532,1399,94444.99569,431141.2787,28.87921489,85.5805127
4.508438,51.865549,1401,94473.60143,431142.8244,28.64919862,86.21425288
4.508851,51.865565,1402,94502.06805,431144.2607,28.50455786,86.41913025
