,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]",all,7,0.0,0.719,822,446,413,37,0.957,0.519
1,"[0, 1, 3, 4]",all,7,0.1,0.742,819,404,455,40,0.953,0.47
2,"[0, 1, 3, 4]",all,7,0.2,0.761,816,368,491,43,0.95,0.428
3,"[0, 1, 3, 4]",all,7,0.30000000000000004,0.781,814,332,527,45,0.948,0.386
4,"[0, 1, 3, 4]",all,7,0.4,0.8,811,295,564,48,0.944,0.343
5,"[0, 1, 3, 4]",all,7,0.5,0.818,808,262,597,51,0.941,0.305
6,"[0, 1, 3, 4]",all,7,0.6000000000000001,0.828,803,239,620,56,0.935,0.278
7,"[0, 1, 3, 4]",all,7,0.7000000000000001,0.838,799,218,641,60,0.93,0.254
8,"[0, 1, 3, 4]",all,7,0.8,0.847,795,198,661,64,0.925,0.231
9,"[0, 1, 3, 4]",all,7,0.9,0.854,793,185,674,66,0.923,0.215
10,"[0, 1, 3, 4]",all,7,1.0,0.87,792,157,702,67,0.922,0.183
11,"[0, 1, 3, 4]",all,7,1.1,0.873,784,143,716,75,0.913,0.166
12,"[0, 1, 3, 4]",all,7,1.2000000000000002,0.877,779,131,728,80,0.907,0.153
13,"[0, 1, 3, 4]",all,7,1.3,0.883,773,115,744,86,0.9,0.134
14,"[0, 1, 3, 4]",all,7,1.4000000000000001,0.885,770,109,750,89,0.896,0.127
15,"[0, 1, 3, 4]",all,7,1.5,0.886,758,94,765,101,0.882,0.109
16,"[0, 1, 3, 4]",all,7,1.6,0.888,752,86,773,107,0.875,0.1
17,"[0, 1, 3, 4]",all,7,1.7000000000000002,0.885,742,81,778,117,0.864,0.094
18,"[0, 1, 3, 4]",all,7,1.8,0.883,734,76,783,125,0.854,0.088
19,"[0, 1, 3, 4]",all,7,1.9000000000000001,0.88,724,72,787,135,0.843,0.084
20,"[0, 1, 3, 4]",all,7,2.0,0.877,713,66,793,146,0.83,0.077
21,"[0, 1, 3, 4]",all,7,2.1,0.871,702,64,795,157,0.817,0.075
22,"[0, 1, 3, 4]",all,7,2.2,0.867,688,57,802,171,0.801,0.066
23,"[0, 1, 3, 4]",all,7,2.3000000000000003,0.857,667,54,805,192,0.776,0.063
24,"[0, 1, 3, 4]",all,7,2.4000000000000004,0.849,647,48,811,212,0.753,0.056
25,"[0, 1, 3, 4]",all,7,2.5,0.844,633,42,817,226,0.737,0.049
26,"[0, 1, 3, 4]",all,7,2.6,0.832,609,38,821,250,0.709,0.044
27,"[0, 1, 3, 4]",all,7,2.7,0.823,587,32,827,272,0.683,0.037
28,"[0, 1, 3, 4]",all,7,2.8000000000000003,0.803,551,30,829,308,0.641,0.035
29,"[0, 1, 3, 4]",all,7,2.9000000000000004,0.793,533,29,830,326,0.62,0.034
