,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]",all,6,0.0,0.74,827,415,444,32,0.963,0.483
1,"[0, 1, 3, 4]",all,6,0.1,0.763,824,372,487,35,0.959,0.433
2,"[0, 1, 3, 4]",all,6,0.2,0.776,822,347,512,37,0.957,0.404
3,"[0, 1, 3, 4]",all,6,0.30000000000000004,0.8,820,304,555,39,0.955,0.354
4,"[0, 1, 3, 4]",all,6,0.4,0.815,818,276,583,41,0.952,0.321
5,"[0, 1, 3, 4]",all,6,0.5,0.834,817,244,615,42,0.951,0.284
6,"[0, 1, 3, 4]",all,6,0.6000000000000001,0.847,811,215,644,48,0.944,0.25
7,"[0, 1, 3, 4]",all,6,0.7000000000000001,0.858,806,191,668,53,0.938,0.222
8,"[0, 1, 3, 4]",all,6,0.8,0.862,800,178,681,59,0.931,0.207
9,"[0, 1, 3, 4]",all,6,0.9,0.873,794,153,706,65,0.924,0.178
10,"[0, 1, 3, 4]",all,6,1.0,0.884,790,130,729,69,0.92,0.151
11,"[0, 1, 3, 4]",all,6,1.1,0.895,786,108,751,73,0.915,0.126
12,"[0, 1, 3, 4]",all,6,1.2000000000000002,0.898,780,96,763,79,0.908,0.112
13,"[0, 1, 3, 4]",all,6,1.3,0.896,772,91,768,87,0.899,0.106
14,"[0, 1, 3, 4]",all,6,1.4000000000000001,0.902,767,76,783,92,0.893,0.088
15,"[0, 1, 3, 4]",all,6,1.5,0.905,765,69,790,94,0.891,0.08
16,"[0, 1, 3, 4]",all,6,1.6,0.903,758,66,793,101,0.882,0.077
17,"[0, 1, 3, 4]",all,6,1.7000000000000002,0.899,746,60,799,113,0.868,0.07
18,"[0, 1, 3, 4]",all,6,1.8,0.896,737,57,802,122,0.858,0.066
19,"[0, 1, 3, 4]",all,6,1.9000000000000001,0.891,726,54,805,133,0.845,0.063
20,"[0, 1, 3, 4]",all,6,2.0,0.884,709,49,810,150,0.825,0.057
21,"[0, 1, 3, 4]",all,6,2.1,0.875,691,46,813,168,0.804,0.054
22,"[0, 1, 3, 4]",all,6,2.2,0.87,674,38,821,185,0.785,0.044
23,"[0, 1, 3, 4]",all,6,2.3000000000000003,0.862,658,36,823,201,0.766,0.042
24,"[0, 1, 3, 4]",all,6,2.4000000000000004,0.847,631,35,824,228,0.735,0.041
25,"[0, 1, 3, 4]",all,6,2.5,0.838,610,30,829,249,0.71,0.035
26,"[0, 1, 3, 4]",all,6,2.6,0.82,578,29,830,281,0.673,0.034
27,"[0, 1, 3, 4]",all,6,2.7,0.8,541,26,833,318,0.63,0.03
28,"[0, 1, 3, 4]",all,6,2.8000000000000003,0.784,514,26,833,345,0.598,0.03
29,"[0, 1, 3, 4]",all,6,2.9000000000000004,0.768,485,24,835,374,0.565,0.028
