,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]",all,3,0.0,0.718,819,444,415,40,0.953,0.517
1,"[0, 1, 3, 4]",all,3,0.1,0.751,810,378,481,49,0.943,0.44
2,"[0, 1, 3, 4]",all,3,0.2,0.783,806,320,539,53,0.938,0.373
3,"[0, 1, 3, 4]",all,3,0.30000000000000004,0.819,796,248,611,63,0.927,0.289
4,"[0, 1, 3, 4]",all,3,0.4,0.842,791,203,656,68,0.921,0.236
5,"[0, 1, 3, 4]",all,3,0.5,0.863,779,156,703,80,0.907,0.182
6,"[0, 1, 3, 4]",all,3,0.6000000000000001,0.877,771,123,736,88,0.898,0.143
7,"[0, 1, 3, 4]",all,3,0.7000000000000001,0.876,760,114,745,99,0.885,0.133
8,"[0, 1, 3, 4]",all,3,0.8,0.88,745,93,766,114,0.867,0.108
9,"[0, 1, 3, 4]",all,3,0.9,0.877,731,84,775,128,0.851,0.098
10,"[0, 1, 3, 4]",all,3,1.0,0.874,708,66,793,151,0.824,0.077
11,"[0, 1, 3, 4]",all,3,1.1,0.861,677,56,803,182,0.788,0.065
12,"[0, 1, 3, 4]",all,3,1.2000000000000002,0.848,641,43,816,218,0.746,0.05
13,"[0, 1, 3, 4]",all,3,1.3,0.829,604,38,821,255,0.703,0.044
14,"[0, 1, 3, 4]",all,3,1.4000000000000001,0.793,540,36,823,319,0.629,0.042
15,"[0, 1, 3, 4]",all,3,1.5,0.769,494,32,827,365,0.575,0.037
16,"[0, 1, 3, 4]",all,3,1.6,0.742,442,27,832,417,0.515,0.031
17,"[0, 1, 3, 4]",all,3,1.7000000000000002,0.704,376,26,833,483,0.438,0.03
18,"[0, 1, 3, 4]",all,3,1.8,0.673,320,22,837,539,0.373,0.026
19,"[0, 1, 3, 4]",all,3,1.9000000000000001,0.643,267,22,837,592,0.311,0.026
20,"[0, 1, 3, 4]",all,3,2.0,0.616,221,21,838,638,0.257,0.024
21,"[0, 1, 3, 4]",all,3,2.1,0.596,185,20,839,674,0.215,0.023
22,"[0, 1, 3, 4]",all,3,2.2,0.578,152,18,841,707,0.177,0.021
23,"[0, 1, 3, 4]",all,3,2.3000000000000003,0.562,122,16,843,737,0.142,0.019
24,"[0, 1, 3, 4]",all,3,2.4000000000000004,0.549,98,14,845,761,0.114,0.016
25,"[0, 1, 3, 4]",all,3,2.5,0.538,76,11,848,783,0.088,0.013
26,"[0, 1, 3, 4]",all,3,2.6,0.533,64,8,851,795,0.075,0.009
27,"[0, 1, 3, 4]",all,3,2.7,0.529,57,8,851,802,0.066,0.009
28,"[0, 1, 3, 4]",all,3,2.8000000000000003,0.526,52,8,851,807,0.061,0.009
29,"[0, 1, 3, 4]",all,3,2.9000000000000004,0.519,41,8,851,818,0.048,0.009
