,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]",all,8,0.0,0.725,822,436,423,37,0.957,0.508
1,"[0, 1, 3, 4]",all,8,0.1,0.748,818,392,467,41,0.952,0.456
2,"[0, 1, 3, 4]",all,8,0.2,0.771,815,349,510,44,0.949,0.406
3,"[0, 1, 3, 4]",all,8,0.30000000000000004,0.787,812,319,540,47,0.945,0.371
4,"[0, 1, 3, 4]",all,8,0.4,0.799,805,292,567,54,0.937,0.34
5,"[0, 1, 3, 4]",all,8,0.5,0.813,803,266,593,56,0.935,0.31
6,"[0, 1, 3, 4]",all,8,0.6000000000000001,0.825,801,242,617,58,0.932,0.282
7,"[0, 1, 3, 4]",all,8,0.7000000000000001,0.839,800,218,641,59,0.931,0.254
8,"[0, 1, 3, 4]",all,8,0.8,0.847,798,202,657,61,0.929,0.235
9,"[0, 1, 3, 4]",all,8,0.9,0.857,793,180,679,66,0.923,0.21
10,"[0, 1, 3, 4]",all,8,1.0,0.865,790,163,696,69,0.92,0.19
11,"[0, 1, 3, 4]",all,8,1.1,0.873,782,141,718,77,0.91,0.164
12,"[0, 1, 3, 4]",all,8,1.2000000000000002,0.881,779,125,734,80,0.907,0.146
13,"[0, 1, 3, 4]",all,8,1.3,0.886,774,111,748,85,0.901,0.129
14,"[0, 1, 3, 4]",all,8,1.4000000000000001,0.889,769,100,759,90,0.895,0.116
15,"[0, 1, 3, 4]",all,8,1.5,0.895,767,89,770,92,0.893,0.104
16,"[0, 1, 3, 4]",all,8,1.6,0.894,757,80,779,102,0.881,0.093
17,"[0, 1, 3, 4]",all,8,1.7000000000000002,0.894,751,74,785,108,0.874,0.086
18,"[0, 1, 3, 4]",all,8,1.8,0.892,745,71,788,114,0.867,0.083
19,"[0, 1, 3, 4]",all,8,1.9000000000000001,0.891,732,61,798,127,0.852,0.071
20,"[0, 1, 3, 4]",all,8,2.0,0.888,722,55,804,137,0.841,0.064
21,"[0, 1, 3, 4]",all,8,2.1,0.885,711,49,810,148,0.828,0.057
22,"[0, 1, 3, 4]",all,8,2.2,0.875,691,47,812,168,0.804,0.055
23,"[0, 1, 3, 4]",all,8,2.3000000000000003,0.867,676,46,813,183,0.787,0.054
24,"[0, 1, 3, 4]",all,8,2.4000000000000004,0.857,657,43,816,202,0.765,0.05
25,"[0, 1, 3, 4]",all,8,2.5,0.852,641,36,823,218,0.746,0.042
26,"[0, 1, 3, 4]",all,8,2.6,0.836,608,31,828,251,0.708,0.036
27,"[0, 1, 3, 4]",all,8,2.7,0.824,588,31,828,271,0.685,0.036
28,"[0, 1, 3, 4]",all,8,2.8000000000000003,0.814,566,27,832,293,0.659,0.031
29,"[0, 1, 3, 4]",all,8,2.9000000000000004,0.802,545,27,832,314,0.634,0.031
