,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]",all,4,0.0,0.729,821,428,431,38,0.956,0.498
1,"[0, 1, 3, 4]",all,4,0.1,0.764,817,363,496,42,0.951,0.423
2,"[0, 1, 3, 4]",all,4,0.2,0.795,815,309,550,44,0.949,0.36
3,"[0, 1, 3, 4]",all,4,0.30000000000000004,0.819,809,261,598,50,0.942,0.304
4,"[0, 1, 3, 4]",all,4,0.4,0.845,801,208,651,58,0.932,0.242
5,"[0, 1, 3, 4]",all,4,0.5,0.862,798,176,683,61,0.929,0.205
6,"[0, 1, 3, 4]",all,4,0.6000000000000001,0.872,788,149,710,71,0.917,0.173
7,"[0, 1, 3, 4]",all,4,0.7000000000000001,0.881,785,130,729,74,0.914,0.151
8,"[0, 1, 3, 4]",all,4,0.8,0.891,778,107,752,81,0.906,0.125
9,"[0, 1, 3, 4]",all,4,0.9,0.893,767,92,767,92,0.893,0.107
10,"[0, 1, 3, 4]",all,4,1.0,0.896,762,81,778,97,0.887,0.094
11,"[0, 1, 3, 4]",all,4,1.1,0.896,751,71,788,108,0.874,0.083
12,"[0, 1, 3, 4]",all,4,1.2000000000000002,0.899,747,62,797,112,0.87,0.072
13,"[0, 1, 3, 4]",all,4,1.3,0.892,732,58,801,127,0.852,0.068
14,"[0, 1, 3, 4]",all,4,1.4000000000000001,0.884,711,51,808,148,0.828,0.059
15,"[0, 1, 3, 4]",all,4,1.5,0.879,697,46,813,162,0.811,0.054
16,"[0, 1, 3, 4]",all,4,1.6,0.865,667,40,819,192,0.776,0.047
17,"[0, 1, 3, 4]",all,4,1.7000000000000002,0.85,637,35,824,222,0.742,0.041
18,"[0, 1, 3, 4]",all,4,1.8,0.838,609,29,830,250,0.709,0.034
19,"[0, 1, 3, 4]",all,4,1.9000000000000001,0.815,567,25,834,292,0.66,0.029
20,"[0, 1, 3, 4]",all,4,2.0,0.799,537,24,835,322,0.625,0.028
21,"[0, 1, 3, 4]",all,4,2.1,0.78,502,21,838,357,0.584,0.024
22,"[0, 1, 3, 4]",all,4,2.2,0.753,449,15,844,410,0.523,0.017
23,"[0, 1, 3, 4]",all,4,2.3000000000000003,0.73,409,14,845,450,0.476,0.016
24,"[0, 1, 3, 4]",all,4,2.4000000000000004,0.703,362,14,845,497,0.421,0.016
25,"[0, 1, 3, 4]",all,4,2.5,0.679,318,11,848,541,0.37,0.013
26,"[0, 1, 3, 4]",all,4,2.6,0.659,283,9,850,576,0.329,0.01
27,"[0, 1, 3, 4]",all,4,2.7,0.641,250,8,851,609,0.291,0.009
28,"[0, 1, 3, 4]",all,4,2.8000000000000003,0.612,200,7,852,659,0.233,0.008
29,"[0, 1, 3, 4]",all,4,2.9000000000000004,0.599,177,7,852,682,0.206,0.008
