,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['A', 'M']",8,0.0,0.706,223,126,110,13,0.945,0.534
1,"[0, 1, 3, 4]","['A', 'M']",8,0.1,0.737,222,110,126,14,0.941,0.466
2,"[0, 1, 3, 4]","['A', 'M']",8,0.2,0.752,222,103,133,14,0.941,0.436
3,"[0, 1, 3, 4]","['A', 'M']",8,0.30000000000000004,0.784,222,88,148,14,0.941,0.373
4,"[0, 1, 3, 4]","['A', 'M']",8,0.4,0.805,222,78,158,14,0.941,0.331
5,"[0, 1, 3, 4]","['A', 'M']",8,0.5,0.818,221,71,165,15,0.936,0.301
6,"[0, 1, 3, 4]","['A', 'M']",8,0.6000000000000001,0.833,221,64,172,15,0.936,0.271
7,"[0, 1, 3, 4]","['A', 'M']",8,0.7000000000000001,0.845,221,58,178,15,0.936,0.246
8,"[0, 1, 3, 4]","['A', 'M']",8,0.8,0.854,221,54,182,15,0.936,0.229
9,"[0, 1, 3, 4]","['A', 'M']",8,0.9,0.867,221,48,188,15,0.936,0.203
10,"[0, 1, 3, 4]","['A', 'M']",8,1.0,0.873,221,45,191,15,0.936,0.191
11,"[0, 1, 3, 4]","['A', 'M']",8,1.1,0.886,219,37,199,17,0.928,0.157
12,"[0, 1, 3, 4]","['A', 'M']",8,1.2000000000000002,0.905,219,28,208,17,0.928,0.119
13,"[0, 1, 3, 4]","['A', 'M']",8,1.3,0.907,217,25,211,19,0.919,0.106
14,"[0, 1, 3, 4]","['A', 'M']",8,1.4000000000000001,0.907,216,24,212,20,0.915,0.102
15,"[0, 1, 3, 4]","['A', 'M']",8,1.5,0.911,216,22,214,20,0.915,0.093
16,"[0, 1, 3, 4]","['A', 'M']",8,1.6,0.913,214,19,217,22,0.907,0.081
17,"[0, 1, 3, 4]","['A', 'M']",8,1.7000000000000002,0.915,212,16,220,24,0.898,0.068
18,"[0, 1, 3, 4]","['A', 'M']",8,1.8,0.922,210,11,225,26,0.89,0.047
19,"[0, 1, 3, 4]","['A', 'M']",8,1.9000000000000001,0.919,205,7,229,31,0.869,0.03
