,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['A', 'M']",7,0.0,0.72,222,118,118,14,0.941,0.5
1,"[0, 1, 3, 4]","['A', 'M']",7,0.1,0.742,222,108,128,14,0.941,0.458
2,"[0, 1, 3, 4]","['A', 'M']",7,0.2,0.761,222,99,137,14,0.941,0.419
3,"[0, 1, 3, 4]","['A', 'M']",7,0.30000000000000004,0.784,222,88,148,14,0.941,0.373
4,"[0, 1, 3, 4]","['A', 'M']",7,0.4,0.801,222,80,156,14,0.941,0.339
5,"[0, 1, 3, 4]","['A', 'M']",7,0.5,0.82,221,70,166,15,0.936,0.297
6,"[0, 1, 3, 4]","['A', 'M']",7,0.6000000000000001,0.826,221,67,169,15,0.936,0.284
7,"[0, 1, 3, 4]","['A', 'M']",7,0.7000000000000001,0.839,220,60,176,16,0.932,0.254
8,"[0, 1, 3, 4]","['A', 'M']",7,0.8,0.858,220,51,185,16,0.932,0.216
9,"[0, 1, 3, 4]","['A', 'M']",7,0.9,0.871,220,45,191,16,0.932,0.191
10,"[0, 1, 3, 4]","['A', 'M']",7,1.0,0.886,220,38,198,16,0.932,0.161
11,"[0, 1, 3, 4]","['A', 'M']",7,1.1,0.903,218,28,208,18,0.924,0.119
12,"[0, 1, 3, 4]","['A', 'M']",7,1.2000000000000002,0.911,217,23,213,19,0.919,0.097
13,"[0, 1, 3, 4]","['A', 'M']",7,1.3,0.919,217,19,217,19,0.919,0.081
14,"[0, 1, 3, 4]","['A', 'M']",7,1.4000000000000001,0.919,215,17,219,21,0.911,0.072
15,"[0, 1, 3, 4]","['A', 'M']",7,1.5,0.911,209,15,221,27,0.886,0.064
16,"[0, 1, 3, 4]","['A', 'M']",7,1.6,0.915,208,12,224,28,0.881,0.051
17,"[0, 1, 3, 4]","['A', 'M']",7,1.7000000000000002,0.911,205,11,225,31,0.869,0.047
18,"[0, 1, 3, 4]","['A', 'M']",7,1.8,0.913,204,9,227,32,0.864,0.038
19,"[0, 1, 3, 4]","['A', 'M']",7,1.9000000000000001,0.911,202,8,228,34,0.856,0.034
