,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['A', 'M']",6,0.0,0.737,227,115,121,9,0.962,0.487
1,"[0, 1, 3, 4]","['A', 'M']",6,0.1,0.756,226,105,131,10,0.958,0.445
2,"[0, 1, 3, 4]","['A', 'M']",6,0.2,0.778,226,95,141,10,0.958,0.403
3,"[0, 1, 3, 4]","['A', 'M']",6,0.30000000000000004,0.805,226,82,154,10,0.958,0.347
4,"[0, 1, 3, 4]","['A', 'M']",6,0.4,0.839,226,66,170,10,0.958,0.28
5,"[0, 1, 3, 4]","['A', 'M']",6,0.5,0.852,226,60,176,10,0.958,0.254
6,"[0, 1, 3, 4]","['A', 'M']",6,0.6000000000000001,0.864,224,52,184,12,0.949,0.22
7,"[0, 1, 3, 4]","['A', 'M']",6,0.7000000000000001,0.89,223,39,197,13,0.945,0.165
8,"[0, 1, 3, 4]","['A', 'M']",6,0.8,0.898,222,34,202,14,0.941,0.144
9,"[0, 1, 3, 4]","['A', 'M']",6,0.9,0.911,222,28,208,14,0.941,0.119
10,"[0, 1, 3, 4]","['A', 'M']",6,1.0,0.915,222,26,210,14,0.941,0.11
11,"[0, 1, 3, 4]","['A', 'M']",6,1.1,0.928,222,20,216,14,0.941,0.085
12,"[0, 1, 3, 4]","['A', 'M']",6,1.2000000000000002,0.928,221,19,217,15,0.936,0.081
13,"[0, 1, 3, 4]","['A', 'M']",6,1.3,0.932,219,15,221,17,0.928,0.064
14,"[0, 1, 3, 4]","['A', 'M']",6,1.4000000000000001,0.936,216,10,226,20,0.915,0.042
15,"[0, 1, 3, 4]","['A', 'M']",6,1.5,0.939,215,8,228,21,0.911,0.034
16,"[0, 1, 3, 4]","['A', 'M']",6,1.6,0.943,214,5,231,22,0.907,0.021
17,"[0, 1, 3, 4]","['A', 'M']",6,1.7000000000000002,0.939,210,3,233,26,0.89,0.013
18,"[0, 1, 3, 4]","['A', 'M']",6,1.8,0.932,207,3,233,29,0.877,0.013
19,"[0, 1, 3, 4]","['A', 'M']",6,1.9000000000000001,0.926,204,3,233,32,0.864,0.013
