,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.0,0.732,592,303,320,31,0.95,0.486
1,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.1,0.759,589,266,357,34,0.945,0.427
2,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.2,0.783,588,236,387,35,0.944,0.379
3,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.30000000000000004,0.809,582,197,426,41,0.934,0.316
4,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.4,0.826,574,168,455,49,0.921,0.27
5,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.5,0.84,571,147,476,52,0.917,0.236
6,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.6000000000000001,0.847,564,132,491,59,0.905,0.212
7,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.7000000000000001,0.86,561,112,511,62,0.9,0.18
8,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.8,0.862,555,104,519,68,0.891,0.167
9,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,0.9,0.862,545,94,529,78,0.875,0.151
10,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.0,0.868,540,81,542,83,0.867,0.13
11,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.1,0.872,533,70,553,90,0.856,0.112
12,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.2000000000000002,0.872,530,66,557,93,0.851,0.106
13,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.3,0.869,518,58,565,105,0.831,0.093
14,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.4000000000000001,0.86,505,56,567,118,0.811,0.09
15,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.5,0.855,496,54,569,127,0.796,0.087
16,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.6,0.837,472,52,571,151,0.758,0.083
17,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.7000000000000002,0.826,453,47,576,170,0.727,0.075
18,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.8,0.815,433,41,582,190,0.695,0.066
19,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",4,1.9000000000000001,0.79,402,41,582,221,0.645,0.066
