,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['A', 'M']",2,0.0,0.752,228,109,127,8,0.966,0.462
1,"[0, 1, 3, 4]","['A', 'M']",2,0.1,0.833,227,70,166,9,0.962,0.297
2,"[0, 1, 3, 4]","['A', 'M']",2,0.2,0.898,225,37,199,11,0.953,0.157
3,"[0, 1, 3, 4]","['A', 'M']",2,0.30000000000000004,0.924,223,23,213,13,0.945,0.097
4,"[0, 1, 3, 4]","['A', 'M']",2,0.4,0.934,221,16,220,15,0.936,0.068
5,"[0, 1, 3, 4]","['A', 'M']",2,0.5,0.934,213,8,228,23,0.903,0.034
6,"[0, 1, 3, 4]","['A', 'M']",2,0.6000000000000001,0.898,192,4,232,44,0.814,0.017
7,"[0, 1, 3, 4]","['A', 'M']",2,0.7000000000000001,0.847,168,4,232,68,0.712,0.017
8,"[0, 1, 3, 4]","['A', 'M']",2,0.8,0.797,142,2,234,94,0.602,0.008
9,"[0, 1, 3, 4]","['A', 'M']",2,0.9,0.697,94,1,235,142,0.398,0.004
10,"[0, 1, 3, 4]","['A', 'M']",2,1.0,0.617,55,0,236,181,0.233,0.0
11,"[0, 1, 3, 4]","['A', 'M']",2,1.1,0.561,29,0,236,207,0.123,0.0
12,"[0, 1, 3, 4]","['A', 'M']",2,1.2000000000000002,0.549,23,0,236,213,0.097,0.0
13,"[0, 1, 3, 4]","['A', 'M']",2,1.3,0.536,17,0,236,219,0.072,0.0
14,"[0, 1, 3, 4]","['A', 'M']",2,1.4000000000000001,0.523,11,0,236,225,0.047,0.0
15,"[0, 1, 3, 4]","['A', 'M']",2,1.5,0.521,10,0,236,226,0.042,0.0
16,"[0, 1, 3, 4]","['A', 'M']",2,1.6,0.519,9,0,236,227,0.038,0.0
17,"[0, 1, 3, 4]","['A', 'M']",2,1.7000000000000002,0.519,9,0,236,227,0.038,0.0
18,"[0, 1, 3, 4]","['A', 'M']",2,1.8,0.515,7,0,236,229,0.03,0.0
19,"[0, 1, 3, 4]","['A', 'M']",2,1.9000000000000001,0.513,6,0,236,230,0.025,0.0
