,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.0,0.713,600,334,289,23,0.963,0.536
1,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.1,0.736,597,303,320,26,0.958,0.486
2,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.2,0.75,594,282,341,29,0.953,0.453
3,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.30000000000000004,0.77,592,255,368,31,0.95,0.409
4,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.4,0.787,589,232,391,34,0.945,0.372
5,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.5,0.798,587,216,407,36,0.942,0.347
6,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.6000000000000001,0.806,582,201,422,41,0.934,0.323
7,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.7000000000000001,0.82,579,180,443,44,0.929,0.289
8,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.8,0.831,575,162,461,48,0.923,0.26
9,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,0.9,0.837,573,153,470,50,0.92,0.246
10,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.0,0.852,572,134,489,51,0.918,0.215
11,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.1,0.856,566,123,500,57,0.909,0.197
12,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.2000000000000002,0.86,562,113,510,61,0.902,0.181
13,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.3,0.864,556,102,521,67,0.892,0.164
14,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.4000000000000001,0.868,555,96,527,68,0.891,0.154
15,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.5,0.87,549,88,535,74,0.881,0.141
16,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.6,0.869,544,84,539,79,0.873,0.135
17,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.7000000000000002,0.868,537,78,545,86,0.862,0.125
18,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.8,0.865,530,75,548,93,0.851,0.12
19,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",7,1.9000000000000001,0.866,522,66,557,101,0.838,0.106
