,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.0,0.703,571,318,305,52,0.917,0.51
1,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.1,0.759,557,234,389,66,0.894,0.376
2,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.2,0.802,543,167,456,80,0.872,0.268
3,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.30000000000000004,0.83,532,121,502,91,0.854,0.194
4,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.4,0.843,519,92,531,104,0.833,0.148
5,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.5,0.838,494,73,550,129,0.793,0.117
6,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.6000000000000001,0.83,466,55,568,157,0.748,0.088
7,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.7000000000000001,0.795,410,42,581,213,0.658,0.067
8,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.8,0.75,345,34,589,278,0.554,0.055
9,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,0.9,0.708,288,29,594,335,0.462,0.047
10,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.0,0.662,227,25,598,396,0.364,0.04
11,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.1,0.617,168,22,601,455,0.27,0.035
12,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.2000000000000002,0.579,119,21,602,504,0.191,0.034
13,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.3,0.554,86,19,604,537,0.138,0.03
14,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.4000000000000001,0.531,57,18,605,566,0.091,0.029
15,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.5,0.522,43,16,607,580,0.069,0.026
16,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.6,0.509,24,13,610,599,0.039,0.021
17,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.7000000000000002,0.504,18,13,610,605,0.029,0.021
18,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.8,0.502,14,11,612,609,0.022,0.018
19,"[0, 1, 3, 4]","['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",2,1.9000000000000001,0.505,12,6,617,611,0.019,0.01
