,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['A', 'M']",4,0.0,0.729,229,121,115,7,0.97,0.513
1,"[0, 1, 3, 4]","['A', 'M']",4,0.1,0.773,228,99,137,8,0.966,0.419
2,"[0, 1, 3, 4]","['A', 'M']",4,0.2,0.792,227,89,147,9,0.962,0.377
3,"[0, 1, 3, 4]","['A', 'M']",4,0.30000000000000004,0.833,227,70,166,9,0.962,0.297
4,"[0, 1, 3, 4]","['A', 'M']",4,0.4,0.864,227,55,181,9,0.962,0.233
5,"[0, 1, 3, 4]","['A', 'M']",4,0.5,0.881,227,47,189,9,0.962,0.199
6,"[0, 1, 3, 4]","['A', 'M']",4,0.6000000000000001,0.896,224,37,199,12,0.949,0.157
7,"[0, 1, 3, 4]","['A', 'M']",4,0.7000000000000001,0.915,224,28,208,12,0.949,0.119
8,"[0, 1, 3, 4]","['A', 'M']",4,0.8,0.924,223,23,213,13,0.945,0.097
9,"[0, 1, 3, 4]","['A', 'M']",4,0.9,0.934,222,17,219,14,0.941,0.072
10,"[0, 1, 3, 4]","['A', 'M']",4,1.0,0.947,222,11,225,14,0.941,0.047
11,"[0, 1, 3, 4]","['A', 'M']",4,1.1,0.945,218,8,228,18,0.924,0.034
12,"[0, 1, 3, 4]","['A', 'M']",4,1.2000000000000002,0.943,217,8,228,19,0.919,0.034
13,"[0, 1, 3, 4]","['A', 'M']",4,1.3,0.936,214,8,228,22,0.907,0.034
14,"[0, 1, 3, 4]","['A', 'M']",4,1.4000000000000001,0.919,206,8,228,30,0.873,0.034
15,"[0, 1, 3, 4]","['A', 'M']",4,1.5,0.911,201,7,229,35,0.852,0.03
16,"[0, 1, 3, 4]","['A', 'M']",4,1.6,0.9,195,6,230,41,0.826,0.025
17,"[0, 1, 3, 4]","['A', 'M']",4,1.7000000000000002,0.879,184,5,231,52,0.78,0.021
18,"[0, 1, 3, 4]","['A', 'M']",4,1.8,0.867,176,3,233,60,0.746,0.013
19,"[0, 1, 3, 4]","['A', 'M']",4,1.9000000000000001,0.847,165,1,235,71,0.699,0.004
