t,date,lat_gps,lon_gps,alt,speed,speed3D,fix,precision,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
453.01708968421065,2016-01-01 20:14:30.017000+00:00,51.9902173,4.3915795,2.0822040322551985,25.036,90.54,3.0,148.0,24.808769314974143,24.901408289109547,165.4287246294848,25.222873367667844,86615.10933523376,445115.8243883346,140.0,4.391501,51.990294,550.0,86609.83472,445124.4312,25.01131791,2243684.8756512003,-2.846267894288052,A,straight
454.00624,2016-01-01 20:14:31.006000+00:00,51.9900032,4.3916652,2.055204032255197,24.69,88.992,3.0,148.0,24.592135537861115,24.53892388680267,166.11905114665342,24.808083761486262,86620.66900362336,445091.9250533786,141.0,4.391595,51.990079,551.0,86615.96304,445100.4239,24.77857743,2243684.8946605,-2.328612284024829,A,straight
455.0486115555559,2016-01-01 20:14:32.048000+00:00,51.9897782,4.3917457,2.012204032255198,24.33,87.624,3.0,148.0,24.587161055818186,25.63856016102917,167.54431288534732,24.59637355257227,86625.85495930836,445066.81799270096,142.0,4.391688,51.989866,552.0,86622.0258,445076.6401,24.54583951,2243684.9140325,-1.1408120530442951,A,straight
456.0346475789472,2016-01-01 20:14:33.034000+00:00,51.9895684,4.3918161,1.9172040322551995,23.816,85.428,3.0,148.0,23.95322942980899,23.83951847520051,168.29581619628087,24.177127315499536,86630.37043819034,445043.4114465353,143.0,4.39178,51.989656,553.0,86628.02451,445053.1909,24.205679,2243684.8653176,0.2887474597490653,A,straight
457.0265600000002,2016-01-01 20:14:34.026000+00:00,51.9893618,4.3918905,1.7652040322551985,23.613,85.176,3.0,148.0,23.370323394098897,23.549084680713403,167.46535556834928,23.74109264174217,86635.1655757845,445020.3571416673,144.0,4.391869,51.989452,555.0,86633.82637,445030.4121,23.50744602,2243684.9252833,1.3219575495138118,A,straight
458.021088,2016-01-01 20:14:35.021000+00:00,51.9891615,4.3919739,1.562204032255195,23.265,83.52,3.0,148.0,23.267978692947658,23.011403275276955,165.58347926996416,23.13801449057326,86640.58852026504,444997.9952495248,145.0,4.391957,51.989248,556.0,86639.5596,445007.6343,23.48968019,2243685.0870104,1.4863637868671484,A,straight
459.0142239999999,2016-01-01 20:14:36.014000+00:00,51.9889626,4.3920579,1.594204032255199,23.058000000000003,82.908,3.0,153.0,23.16342855425049,22.87093715864573,165.38625423256448,23.02900827142357,86646.05486068186,444975.7885498171,146.0,4.392045,51.989047,557.0,86645.29746,444985.1902,23.1672875,2243684.8744917,1.7220514346407736,A,straight
460.0534506666669,2016-01-01 20:14:37.053000+00:00,51.9887554,4.3921468,1.5542040322551998,22.766,82.08,3.0,153.0,23.0357793991636,23.849689665856047,165.1634622564408,22.949458891722628,86651.84515981904,444952.6538704205,147.0,4.392132,51.988847,558.0,86650.96821,444962.8583,23.04198661,2243684.9671309,1.7998166984151422,A,straight
461.0412277894738,2016-01-01 20:14:38.041000+00:00,51.9885595,4.3922302,1.6532040322551964,22.68,81.9,3.0,153.0,22.487561917338564,22.53759081877264,165.2734166183082,22.81647377571268,86657.27496634344,444930.78149970295,148.0,4.392218,51.98865,559.0,86656.57491,444940.8611,22.70180628,2243684.9159974,1.9471279609567005,A,straight
462.0339680000001,2016-01-01 20:14:39.033000+00:00,51.9883641,4.3923145,1.8042040322552,22.716,81.828,3.0,148.0,22.63074844853868,22.49962859532297,165.08507052088223,22.66416566666048,86662.76740200663,444908.9639141825,149.0,4.392303,51.988454,560.0,86662.11449,444918.9761,22.57653277,2243685.0107813003,1.9588281808770749,A,straight
463.02696000000014,2016-01-01 20:14:40.026000+00:00,51.9881693,4.3923989,1.7462040322552,22.678,81.504,3.0,148.0,22.47620163209625,22.436904095327893,165.02417716308886,22.595251618669906,86668.26767125171,444887.21299155167,150.0,4.392389,51.988257,561.0,86667.72129,444896.9789,22.70181831,2243684.9158704,2.0138958671241967,A,straight
464.0196320000002,2016-01-01 20:14:41.019000+00:00,51.987974,4.3924816,1.577204032255196,22.737,81.792,3.0,148.0,22.71522334547038,22.46083572246245,165.34857719423854,22.626643767993688,86673.65046354245,444865.4080495793,151.0,4.392475,51.98806,562.0,86673.32815,444874.9818,22.70182434,2243684.9158068,2.180246979445011,A,straight
465.0069136842103,2016-01-01 20:14:42.006000+00:00,51.9877758,4.3925643,1.6592040322551966,23.084,82.872,3.0,148.0,23.28038727020669,22.773169626328045,165.5538580816287,23.066537129722583,86679.02888842915,444843.2804887247,152.0,4.392561,51.987863,563.0,86678.93505,444852.9846,22.70183038,2243684.9157431,2.4347851708392385,A,straight
466.04982964705886,2016-01-01 20:14:43.049000+00:00,51.9875667,4.3926539,1.8172040322551977,22.968,82.764,3.0,148.0,22.961203671405453,24.066400420188835,165.18129703893177,23.076068712627062,86684.86469963175,444819.93381919054,153.0,4.392647,51.987663,564.0,86684.53744,444830.6537,23.02430025,2243685.1318507,2.434371053418443,A,straight
467.0420244210525,2016-01-01 20:14:44.042000+00:00,51.9873692,4.3927382,1.928204032255195,22.987,82.72800000000001,3.0,148.0,22.737338392882627,22.725525987129867,165.2363829519991,22.904299219052387,86690.35419447058,444797.8826427684,154.0,4.392734,51.987464,565.0,86690.21009,444808.4331,22.93458843,2243684.8945853,2.610278928802945,A,straight
