t,lon_gps,lat_gps,alt,time,duration_local,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
452.6401226198796,4.39154649,51.99030196,46.294,2021-10-21 09:13:51+00:00,461.00000000000006,24.98011690139116,25.00022715111489,165.70541926180152,25.00022715111489,86612.97121607042,445125.2739035891,140.0,4.391501,51.990294,550.0,86609.83472,445124.4312,25.01131791,25920884.8756512,-3.2477274318707297,A,straight
453.6401226198796,4.39163722,51.99008638,46.076,2021-10-21 09:13:52+00:00,462.00000000000006,24.76336917495029,24.78344787767121,165.43491257038744,24.78344787767121,86618.87407978786,445101.2051809166,141.0,4.391595,51.990079,551.0,86615.96304,445100.4239,24.77857743,25920884.8946605,-3.014056054870727,A,straight
454.6401226198796,4.3917174,51.98987139,46.025,2021-10-21 09:13:53+00:00,463.00000000000006,24.528141455256662,24.547222338565835,167.03372044041632,24.547222338565835,86624.0532974478,445077.212033557,142.0,4.391688,51.989866,552.0,86622.0258,445076.6401,24.54583951,25920884.9140325,-2.1064786207453494,A,straight
455.6401226198796,4.39179127,51.98965782,45.892,2021-10-21 09:13:54+00:00,464.00000000000006,24.280608900442047,24.299079632296625,167.9461140412029,24.299079632296625,86628.80134111902,445053.38280639634,143.0,4.39178,51.989656,553.0,86628.02451,445053.1909,24.205679,25920884.8653176,-0.799991175624701,A,straight
456.6401226198796,4.39186483,51.9894511,45.873,2021-10-21 09:13:55+00:00,465.00000000000006,23.53162194069746,23.549667886801668,167.60947438632223,23.549667886801668,86633.53858324516,445030.3159401463,144.0,4.391869,51.989452,555.0,86633.82637,445030.4121,23.50744602,25920884.92528329,0.3028923956863704,A,straight
457.6401226198796,4.39194802,51.98924654,45.805,2021-10-21 09:13:56+00:00,466.00000000000006,23.448479291037348,23.46725306167696,165.9057447945274,23.46725306167696,86638.94059157924,445007.48031771934,145.0,4.391957,51.989248,556.0,86639.5596,445007.6343,23.48968019,25920885.0870104,0.6377864589234429,A,straight
458.6401226198796,4.39203419,51.989045,45.756,2021-10-21 09:13:57+00:00,467.00000000000006,23.17399469415242,23.19289284689,165.2130232361622,23.19289284689,86644.55193441267,444984.97787358233,146.0,4.392045,51.989047,557.0,86645.29746,444985.1902,23.1672875,25920884.8744917,0.7751012629272631,A,straight
459.6401226198796,4.39212245,51.98884527,45.77,2021-10-21 09:13:58+00:00,468.00000000000006,23.016592440852097,23.035604088042,164.7398286424563,23.035604088042,86650.30964006307,444962.6748330598,147.0,4.392132,51.988847,558.0,86650.96821,444962.8583,23.04198661,25920884.9671309,0.6836182172051988,A,straight
460.6401226198796,4.39220668,51.98864781,45.752,2021-10-21 09:13:59+00:00,469.00000000000006,22.701464672008505,22.719959750816965,165.24565429969766,22.719959750816965,86655.79405897502,444940.62812920974,148.0,4.392218,51.98865,559.0,86656.57491,444940.8611,22.70180628,25920884.9159974,0.8145741966689517,A,straight
461.6401226198796,4.39229089,51.98845216,45.739,2021-10-21 09:14:00+00:00,470.00000000000006,22.50651964580384,22.52491813041412,165.11850692667034,22.52491813041412,86661.27991341447,444918.7828138353,149.0,4.392303,51.988454,560.0,86662.11449,444918.9761,22.57653277,25920885.0107813,0.8561707175604436,A,straight
462.6401226198796,4.39237498,51.98825497,45.756,2021-10-21 09:14:01+00:00,471.00000000000006,22.67000444365972,22.688470426634865,165.24969482252672,22.688470426634865,86666.75523031445,444896.76629290165,150.0,4.392389,51.988257,561.0,86667.72129,444896.9789,22.70181831,25920884.9158704,0.9881021073989276,A,straight
463.6401226198796,4.39245855,51.98805744,45.777,2021-10-21 09:14:02+00:00,472.00000000000006,22.69757560693624,22.716008130825955,165.36105810568876,22.716008130825955,86672.19436390794,444874.712442816,151.0,4.392475,51.98806,562.0,86673.32815,444874.9818,22.70182434,25920884.9158068,1.1648178961204814,A,straight
464.6401226198796,4.39254142,51.98785987,45.764,2021-10-21 09:14:03+00:00,473.00000000000006,22.68985054537152,22.708216961101428,165.4812267144088,22.708216961101428,86677.58540732985,444852.6548077919,152.0,4.392561,51.987863,563.0,86678.93505,444852.9846,22.70183038,25920884.915743098,1.3889644817453488,A,straight
465.6401226198796,4.39262597,51.98765994,45.805,2021-10-21 09:14:04+00:00,474.00000000000006,22.97275457045867,22.991406210123422,165.36679338478217,22.991406210123422,86683.08829999753,444830.33304916776,153.0,4.392647,51.987663,564.0,86684.53744,444830.6537,23.02430025,25920885.1318507,1.4828987328592895,A,straight
466.6401226198796,4.39271217,51.98746017,45.896,2021-10-21 09:14:05+00:00,475.00000000000006,22.984302079117068,23.003105791901703,165.08235366672795,23.003105791901703,86688.70482173067,444808.0275459641,154.0,4.392734,51.987464,565.0,86690.21009,444808.4331,22.93458843,25920884.8945853,1.5589439094421331,A,straight
467.6401226198796,4.39279659,51.98726157,46.062,2021-10-21 09:14:06+00:00,476.00000000000006,22.82742661935851,22.845994710438323,165.29457851317576,22.845994710438323,86694.20091551557,444785.8538862183,155.0,4.392821,51.987266,566.0,86695.88431,444786.3238,22.82719041,25920884.8217422,1.74770503262811,A,straight
468.6401226198796,4.39288164,51.98706334,46.27,2021-10-21 09:14:07+00:00,477.00000000000006,22.798617031779585,22.81722667685427,165.1631547384869,22.81722667685427,86699.74089757947,444763.7208036096,156.0,4.392888,51.987111,567.0,86700.25032,444769.017,17.8500309,25920885.0570811,1.85785463089342,A,straight
469.6401226198796,4.39296604,51.98686437,46.025,2021-10-21 09:14:08+00:00,478.00000000000006,22.866896751019297,22.885480803903977,165.32394467663823,22.885480803903977,86705.23515807558,444741.5060139151,157.0,4.392989,51.986868,570.0,86706.81775,444741.8883,27.91399382,25920885.607245,1.6279455053343737,A,straight
470.6401226198796,4.39304958,51.98666325,45.799,2021-10-21 09:14:09+00:00,479.00000000000006,23.08362393097104,23.10223770160787,165.61594287064972,23.10223770160787,86710.66712554818,444719.0528516632,158.0,4.393075,51.986667,571.0,86712.41888,444719.4461,23.13188943,25920885.2022522,1.7940934377045668,A,straight
471.6401226198796,4.39313558,51.98646228,45.616,2021-10-21 09:14:10+00:00,480.00000000000006,23.10982563902956,23.128668273268367,165.2000751654726,23.128668273268367,86716.26834647238,444696.6140714704,159.0,4.393161,51.986466,572.0,86718.02007,444697.004,23.13189545,25920885.2021884,1.7932155562538623,A,straight
472.6401226198796,4.39322425,51.98626171,45.584,2021-10-21 09:14:11+00:00,481.00000000000006,23.11418270235519,23.13326899100871,164.73261482220224,23.13326899100871,86722.05362821599,444674.21728909627,160.0,4.393247,51.986265,573.0,86723.6213,444674.5619,23.13190146,25920885.2021245,1.6036936334260217,A,straight
473.6401226198796,4.39331437,51.98606008,45.562,2021-10-21 09:14:12+00:00,482.00000000000006,23.254092004331586,23.27337766457589,164.57242685929444,23.27337766457589,86727.93695043935,444651.70122646575,161.0,4.393318,51.986099,574.0,86728.24553,444656.0277,19.10352654,25920885.2070277,1.4030178413699423,A,straight
474.6401226198796,4.39340468,51.98585523,45.531,2021-10-21 09:14:13+00:00,483.00000000000006,23.602905050203244,23.622371809820788,164.77301421492,23.622371809820788,86733.8284792084,444628.8267676215,162.0,4.393419,51.985858,576.0,86734.81632,444629.1215,27.69853379,25920885.4925085,1.03017578648566,A,straight
475.6401226198796,4.39350416,51.98564598,45.509,2021-10-21 09:14:14+00:00,484.00000000000006,24.244325259558817,24.26495971552989,163.64117506852193,24.26495971552989,86740.34325227767,444605.454199937,163.0,4.393507,51.985646,577.0,86740.53836,444605.4538,24.35101948,25920885.6249081,0.188899838325212,A,straight
476.6401226198796,4.39360523,51.98543421,45.532,2021-10-21 09:14:15+00:00,485.00000000000006,24.54386484040749,24.56478907876692,163.58083660440985,24.56478907876692,86746.96347207554,444581.7997975434,164.0,4.393597,51.985433,578.0,86746.39631,444581.6729,24.49314856,25920885.3781095,-0.5808271775994567,A,straight
477.6401226198796,4.39371172,51.98522073,45.504,2021-10-21 09:14:16+00:00,486.00000000000006,24.83281140528988,24.85440817498664,162.88135071091293,24.85440817498664,86753.95345708393,444557.95007561776,165.0,4.393687,51.985217,579.0,86752.24976,444557.5583,24.81628852,25920885.5725924,-1.7475815862495088,A,straight
478.6401226198796,4.39381063,51.98500455,45.494,2021-10-21 09:14:17+00:00,487.00000000000006,24.97420957188301,24.995117599337384,164.22492841417505,24.995117599337384,86760.41873082904,444533.8071090052,166.0,4.393778,51.984999,580.0,86758.16892,444533.2203,25.04893091,25920885.5471602,-2.3250695397315053,A,straight
479.6401226198796,4.39390713,51.98478609,45.436,2021-10-21 09:14:18+00:00,488.00000000000006,25.174506885646323,25.195281943226725,164.74403792967627,25.195281943226725,86766.71505754568,444509.4127649597,167.0,4.39387,51.98478,581.0,86764.1553,444508.7701,25.17385996,25920885.4588818,-2.639119570786148,A,straight
480.6401226198796,4.3940035,51.98456674,45.43,2021-10-21 09:14:19+00:00,489.00000000000006,25.26769482905979,25.28850118816973,164.82252651736894,25.28850118816973,86773.00116589952,444484.9195393323,168.0,4.393962,51.98456,582.0,86770.14023,444484.2087,25.28158518,25920885.5221257,-2.947798935920825,A,straight
481.6401226198796,4.39409738,51.9843475,45.478,2021-10-21 09:14:20+00:00,490.00000000000006,25.21187506402788,25.23242846511621,165.1900795742559,25.23242846511621,86779.11646501465,444460.44089836656,169.0,4.394054,51.984341,583.0,86776.12674,444459.7585,25.17387371,25920885.4587447,-3.06529003429158,A,straight
482.6401226198796,4.39419139,51.98412661,45.491,2021-10-21 09:14:21+00:00,491.00000000000006,25.391588092658225,25.412239041627075,165.2763486650482,25.412239041627075,86785.23824856478,444435.7785811189,170.0,4.394146,51.984119,584.0,86782.10875,444434.9746,25.49712685,25920885.6470094,-3.231120131309252,A,straight
483.6401226198796,4.39428438,51.98390502,45.499,2021-10-21 09:14:22+00:00,492.00000000000006,25.44932760343696,25.46991562801084,165.47327457896046,25.46991562801084,86791.28896589947,444411.0393549548,171.0,4.394241,51.983898,586.0,86788.29842,444410.2991,25.44144779,25920885.135136098,-3.080368137691759,A,straight
484.6401226198796,4.39437729,51.98368382,45.538,2021-10-21 09:14:23+00:00,493.00000000000006,25.405978784408365,25.42653774084577,165.4606673615488,25.42653774084577,86797.3348445055,444386.3435998,172.0,4.394335,51.983677,587.0,86794.41947,444385.6246,25.42391678,25920885.284714498,-3.002387723451562,A,straight
