,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.0,0.681,32,19,17,4,0.889,0.528
1,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.1,0.694,32,18,18,4,0.889,0.5
2,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.2,0.694,32,18,18,4,0.889,0.5
3,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.30000000000000004,0.708,32,17,19,4,0.889,0.472
4,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.4,0.708,32,17,19,4,0.889,0.472
5,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.5,0.736,32,15,21,4,0.889,0.417
6,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.6000000000000001,0.736,31,14,22,5,0.861,0.389
7,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.7000000000000001,0.736,31,14,22,5,0.861,0.389
8,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.8,0.764,31,12,24,5,0.861,0.333
9,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,0.9,0.764,31,12,24,5,0.861,0.333
10,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.0,0.792,31,10,26,5,0.861,0.278
11,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.1,0.792,31,10,26,5,0.861,0.278
12,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.2000000000000002,0.806,31,9,27,5,0.861,0.25
13,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.3,0.819,31,8,28,5,0.861,0.222
14,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.4000000000000001,0.819,31,8,28,5,0.861,0.222
15,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.5,0.806,30,8,28,6,0.833,0.222
16,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.6,0.806,30,8,28,6,0.833,0.222
17,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.7000000000000002,0.819,30,7,29,6,0.833,0.194
18,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.8,0.819,30,7,29,6,0.833,0.194
19,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",8,1.9000000000000001,0.819,30,7,29,6,0.833,0.194
