,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.0,0.681,32,19,17,4,0.889,0.528
1,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.1,0.681,31,18,18,5,0.861,0.5
2,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.2,0.681,31,18,18,5,0.861,0.5
3,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.30000000000000004,0.708,31,16,20,5,0.861,0.444
4,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.4,0.708,31,16,20,5,0.861,0.444
5,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.5,0.722,31,15,21,5,0.861,0.417
6,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.6000000000000001,0.722,31,15,21,5,0.861,0.417
7,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.7000000000000001,0.722,31,15,21,5,0.861,0.417
8,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.8,0.722,31,15,21,5,0.861,0.417
9,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,0.9,0.722,31,15,21,5,0.861,0.417
10,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.0,0.736,31,14,22,5,0.861,0.389
11,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.1,0.75,31,13,23,5,0.861,0.361
12,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.2000000000000002,0.764,31,12,24,5,0.861,0.333
13,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.3,0.75,30,12,24,6,0.833,0.333
14,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.4000000000000001,0.75,30,12,24,6,0.833,0.333
15,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.5,0.75,30,12,24,6,0.833,0.333
16,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.6,0.778,30,10,26,6,0.833,0.278
17,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.7000000000000002,0.764,29,10,26,7,0.806,0.278
18,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.8,0.764,29,10,26,7,0.806,0.278
19,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",7,1.9000000000000001,0.764,29,10,26,7,0.806,0.278
