,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.0,0.694,31,17,19,5,0.861,0.472
1,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.1,0.694,31,17,19,5,0.861,0.472
2,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.2,0.708,31,16,20,5,0.861,0.444
3,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.30000000000000004,0.722,31,15,21,5,0.861,0.417
4,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.4,0.75,31,13,23,5,0.861,0.361
5,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.5,0.764,31,12,24,5,0.861,0.333
6,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.6000000000000001,0.764,31,12,24,5,0.861,0.333
7,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.7000000000000001,0.764,31,12,24,5,0.861,0.333
8,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.8,0.792,31,10,26,5,0.861,0.278
9,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,0.9,0.806,31,9,27,5,0.861,0.25
10,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.0,0.833,31,7,29,5,0.861,0.194
11,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.1,0.833,30,6,30,6,0.833,0.167
12,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.2000000000000002,0.833,30,6,30,6,0.833,0.167
13,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.3,0.833,30,6,30,6,0.833,0.167
14,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.4000000000000001,0.806,28,6,30,8,0.778,0.167
15,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.5,0.806,28,6,30,8,0.778,0.167
16,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.6,0.792,27,6,30,9,0.75,0.167
17,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.7000000000000002,0.792,27,6,30,9,0.75,0.167
18,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.8,0.778,26,6,30,10,0.722,0.167
19,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",4,1.9000000000000001,0.764,25,6,30,11,0.694,0.167
