,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.0,0.5,25,25,11,11,0.694,0.694
1,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.1,0.528,24,22,14,12,0.667,0.611
2,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.2,0.542,24,21,15,12,0.667,0.583
3,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.30000000000000004,0.556,24,20,16,12,0.667,0.556
4,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.4,0.583,24,18,18,12,0.667,0.5
5,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.5,0.583,23,17,19,13,0.639,0.472
6,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.6000000000000001,0.569,22,17,19,14,0.611,0.472
7,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.7000000000000001,0.597,21,14,22,15,0.583,0.389
8,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.8,0.597,21,14,22,15,0.583,0.389
9,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,0.9,0.583,19,13,23,17,0.528,0.361
10,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.0,0.542,14,11,25,22,0.389,0.306
11,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.1,0.486,9,10,26,27,0.25,0.278
12,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.2000000000000002,0.472,8,10,26,28,0.222,0.278
13,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.3,0.472,7,9,27,29,0.194,0.25
14,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.4000000000000001,0.472,5,7,29,31,0.139,0.194
15,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.5,0.486,5,6,30,31,0.139,0.167
16,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.6,0.486,4,5,31,32,0.111,0.139
17,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.7000000000000002,0.458,2,5,31,34,0.056,0.139
18,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.8,0.458,2,5,31,34,0.056,0.139
19,"[0, 1, 3, 4]","['B', 'D', 'F', 'H', 'J', 'L']",2,1.9000000000000001,0.472,2,4,32,34,0.056,0.111
