trip_nr,dev_nr,sections,trip_name,signal_name,EWM_SPAN,LOOKBACK_DISTDIFF,LANE_CHANGE_DURATION,ROLLING_SUM_SIZE,CUTOFF_THRESHOLD,precision,recall,f1,timestamp
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.3999999999999995,0.7368421052631579,0.717948717948718,0.7272727272727273,2022-02-09 14:31:08
1,1,all,02 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.3999999999999995,0.625,0.7333333333333333,0.6748466257668712,2022-02-09 14:31:08
0,1,all,01 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.3999999999999995,0.5873015873015873,0.6727272727272727,0.6271186440677966,2022-02-09 14:31:08
2,0,all,03 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.3999999999999995,0.6538461538461539,0.6455696202531646,0.6496815286624203,2022-02-09 14:31:08
1,0,all,02 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.3999999999999995,0.5531914893617021,0.7027027027027027,0.6190476190476191,2022-02-09 14:31:08
0,0,all,01 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.3999999999999995,0.5555555555555556,0.6363636363636364,0.5932203389830508,2022-02-09 14:31:08
2,4,all,03 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.627906976744186,0.6923076923076923,0.6585365853658537,2022-02-09 14:31:08
1,4,all,02 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.5858585858585859,0.7945205479452054,0.6744186046511628,2022-02-09 14:31:08
0,4,all,01 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.6470588235294118,0.8148148148148148,0.7213114754098361,2022-02-09 14:31:07
2,3,all,03 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.54,0.7012987012987013,0.6101694915254238,2022-02-09 14:31:07
1,3,all,02 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.4473684210526316,0.7183098591549296,0.5513513513513514,2022-02-09 14:31:07
0,3,all,01 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.42045454545454547,0.6851851851851852,0.5211267605633803,2022-02-09 14:31:07
